continent,location,population,gdp_per_capita,month,new_deaths_per_million,total_vaccinations_per_hundred
Africa,Algeria,44616626.0,13913.84,1,3.02,0.0
Africa,Algeria,44616626.0,13913.84,2,2.06,0.17
Africa,Algeria,44616626.0,13913.84,3,2.47,0.0
Africa,Algeria,44616626.0,13913.84,4,3.59,0.0
Africa,Algeria,44616626.0,13913.84,5,4.91,0.0
Africa,Algeria,44616626.0,13913.84,6,5.47,0.0
Africa,Angola,33933611.0,5819.5,1,1.79,0.0
Africa,Angola,33933611.0,5819.5,2,1.23,0.0
Africa,Angola,33933611.0,5819.5,3,0.85,0.81
Africa,Angola,33933611.0,5819.5,4,1.73,3.77
Africa,Angola,33933611.0,5819.5,5,5.01,11.3
Africa,Angola,33933611.0,5819.5,6,3.95,23.44
Africa,Benin,12451031.0,2064.24,1,0.64,0.0
Africa,Benin,12451031.0,2064.24,2,1.45,0.0
Africa,Benin,12451031.0,2064.24,3,1.61,0.0
Africa,Benin,12451031.0,2064.24,4,0.72,0.0
Africa,Benin,12451031.0,2064.24,5,0.16,0.19
Africa,Benin,12451031.0,2064.24,6,0.24,0.58
Africa,Botswana,2397240.0,15807.37,1,38.38,0.0
Africa,Botswana,2397240.0,15807.37,2,73.42,0.0
Africa,Botswana,2397240.0,15807.37,3,107.62,0.0
Africa,Botswana,2397240.0,15807.37,4,60.07,11.66
Africa,Botswana,2397240.0,15807.37,5,57.15,33.89
Africa,Botswana,2397240.0,15807.37,6,115.13,51.59
Africa,Burkina Faso,21497097.0,1703.1,1,1.63,0.0
Africa,Burkina Faso,21497097.0,1703.1,2,1.03,0.0
Africa,Burkina Faso,21497097.0,1703.1,3,0.19,0.0
Africa,Burkina Faso,21497097.0,1703.1,4,0.52,0.0
Africa,Burkina Faso,21497097.0,1703.1,5,0.42,0.0
Africa,Burkina Faso,21497097.0,1703.1,6,0.09,0.24
Africa,Burundi,12255429.0,702.22,1,0.0,0.0
Africa,Burundi,12255429.0,702.22,2,0.08,0.0
Africa,Burundi,12255429.0,702.22,3,0.24,0.0
Africa,Burundi,12255429.0,702.22,4,0.0,0.0
Africa,Burundi,12255429.0,702.22,5,0.0,0.0
Africa,Burundi,12255429.0,702.22,6,0.16,0.0
Africa,Cameroon,27224262.0,3364.93,1,0.51,0.0
Africa,Cameroon,27224262.0,3364.93,2,3.27,0.0
Africa,Cameroon,27224262.0,3364.93,3,6.25,0.0
Africa,Cameroon,27224262.0,3364.93,4,14.18,0.04
Africa,Cameroon,27224262.0,3364.93,5,6.17,1.24
Africa,Cameroon,27224262.0,3364.93,6,1.8,2.1
Africa,Cape Verde,561901.0,6222.55,1,37.37,0.0
Africa,Cape Verde,561901.0,6222.55,2,23.14,0.0
Africa,Cape Verde,561901.0,6222.55,3,37.38,0.39
Africa,Cape Verde,561901.0,6222.55,4,87.2,0.0
Africa,Cape Verde,561901.0,6222.55,5,83.64,16.42
Africa,Cape Verde,561901.0,6222.55,6,39.16,68.86
Africa,Central African Republic,4919987.0,661.24,1,0.0,0.0
Africa,Central African Republic,4919987.0,661.24,2,0.0,0.0
Africa,Central African Republic,4919987.0,661.24,3,0.81,0.0
Africa,Central African Republic,4919987.0,661.24,4,4.27,0.0
Africa,Central African Republic,4919987.0,661.24,5,2.03,0.38
Africa,Central African Republic,4919987.0,661.24,6,0.0,5.2
Africa,Chad,16914985.0,1768.15,1,0.83,0.0
Africa,Chad,16914985.0,1768.15,2,1.3,0.0
Africa,Chad,16914985.0,1768.15,3,1.42,0.0
Africa,Chad,16914985.0,1768.15,4,0.35,0.0
Africa,Chad,16914985.0,1768.15,5,0.18,0.0
Africa,Chad,16914985.0,1768.15,6,0.06,0.14
Africa,Comoros,888456.0,1413.89,1,93.42,0.0
Africa,Comoros,888456.0,1413.89,2,57.41,0.0
Africa,Comoros,888456.0,1413.89,3,2.25,0.0
Africa,Comoros,888456.0,1413.89,4,0.0,1.51
Africa,Comoros,888456.0,1413.89,5,0.0,35.01
Africa,Comoros,888456.0,1413.89,6,0.0,9.5
Africa,Congo,5657017.0,4881.41,1,1.59,0.0
Africa,Congo,5657017.0,4881.41,2,1.94,0.0
Africa,Congo,5657017.0,4881.41,3,1.24,0.0
Africa,Congo,5657017.0,4881.41,4,1.59,0.25
Africa,Congo,5657017.0,4881.41,5,1.59,1.35
Africa,Congo,5657017.0,4881.41,6,2.12,9.22
Africa,Cote d'Ivoire,27053629.0,3601.01,1,0.63,0.0
Africa,Cote d'Ivoire,27053629.0,3601.01,2,1.41,0.0
Africa,Cote d'Ivoire,27053629.0,3601.01,3,1.92,1.71
Africa,Cote d'Ivoire,27053629.0,3601.01,4,1.55,8.01
Africa,Cote d'Ivoire,27053629.0,3601.01,5,0.7,36.9
Africa,Cote d'Ivoire,27053629.0,3601.01,6,0.3,68.0
Africa,Democratic Republic of Congo,92377986.0,808.13,1,0.87,0.0
Africa,Democratic Republic of Congo,92377986.0,808.13,2,0.39,0.0
Africa,Democratic Republic of Congo,92377986.0,808.13,3,0.39,0.0
Africa,Democratic Republic of Congo,92377986.0,808.13,4,0.25,0.0
Africa,Democratic Republic of Congo,92377986.0,808.13,5,0.17,0.11
Africa,Democratic Republic of Congo,92377986.0,808.13,6,1.54,0.06
Africa,Djibouti,1002197.0,2705.41,1,2.0,0.0
Africa,Djibouti,1002197.0,2705.41,2,0.0,0.0
Africa,Djibouti,1002197.0,2705.41,3,6.99,0.0
Africa,Djibouti,1002197.0,2705.41,4,72.84,2.32
Africa,Djibouti,1002197.0,2705.41,5,10.98,1.49
Africa,Djibouti,1002197.0,2705.41,6,1.0,4.8
Africa,Egypt,104258327.0,10550.21,1,16.16,0.0
Africa,Egypt,104258327.0,10550.21,2,13.16,0.0
Africa,Egypt,104258327.0,10550.21,3,12.54,0.16
Africa,Egypt,104258327.0,10550.21,4,12.89,0.63
Africa,Egypt,104258327.0,10550.21,5,16.85,12.75
Africa,Egypt,104258327.0,10550.21,6,10.29,32.51
Africa,Equatorial Guinea,1449891.0,22604.87,1,0.0,0.0
Africa,Equatorial Guinea,1449891.0,22604.87,2,3.45,0.0
Africa,Equatorial Guinea,1449891.0,22604.87,3,7.59,1.29
Africa,Equatorial Guinea,1449891.0,22604.87,4,6.9,15.43
Africa,Equatorial Guinea,1449891.0,22604.87,5,4.14,70.31
Africa,Equatorial Guinea,1449891.0,22604.87,6,2.07,158.21
Africa,Eritrea,3601462.0,1510.46,1,1.11,0.0
Africa,Eritrea,3601462.0,1510.46,2,0.0,0.0
Africa,Eritrea,3601462.0,1510.46,3,0.83,0.0
Africa,Eritrea,3601462.0,1510.46,4,0.0,0.0
Africa,Eritrea,3601462.0,1510.46,5,1.11,0.0
Africa,Eritrea,3601462.0,1510.46,6,2.5,0.0
Africa,Eswatini,1172369.0,7738.98,1,307.08,0.0
Africa,Eswatini,1172369.0,7738.98,2,74.21,0.0
Africa,Eswatini,1172369.0,7738.98,3,12.79,0.0
Africa,Eswatini,1172369.0,7738.98,4,3.41,18.29
Africa,Eswatini,1172369.0,7738.98,5,1.71,3.0
Africa,Eswatini,1172369.0,7738.98,6,4.26,11.83
Africa,Ethiopia,117876226.0,1729.93,1,1.44,0.0
Africa,Ethiopia,117876226.0,1729.93,2,2.31,0.0
Africa,Ethiopia,117876226.0,1729.93,3,4.24,0.0
Africa,Ethiopia,117876226.0,1729.93,4,6.98,3.15
Africa,Ethiopia,117876226.0,1729.93,5,4.05,38.82
Africa,Ethiopia,117876226.0,1729.93,6,1.31,47.76
Africa,Gabon,2278829.0,16562.41,1,1.76,0.0
Africa,Gabon,2278829.0,16562.41,2,6.58,0.0
Africa,Gabon,2278829.0,16562.41,3,15.36,0.01
Africa,Gabon,2278829.0,16562.41,4,9.22,2.24
Africa,Gabon,2278829.0,16562.41,5,5.71,2.29
Africa,Gabon,2278829.0,16562.41,6,3.07,9.87
Africa,Gambia,2486937.0,1561.77,1,1.61,0.0
Africa,Gambia,2486937.0,1561.77,2,8.84,0.0
Africa,Gambia,2486937.0,1561.77,3,6.03,0.21
Africa,Gambia,2486937.0,1561.77,4,3.62,2.02
Africa,Gambia,2486937.0,1561.77,5,2.01,4.22
Africa,Gambia,2486937.0,1561.77,6,0.8,5.02
Africa,Ghana,31732128.0,4227.63,1,2.56,0.0
Africa,Ghana,31732128.0,4227.63,2,6.02,0.0
Africa,Ghana,31732128.0,4227.63,3,4.29,4.49
Africa,Ghana,31732128.0,4227.63,4,1.14,18.35
Africa,Ghana,31732128.0,4227.63,5,0.19,6.54
Africa,Ghana,31732128.0,4227.63,6,0.35,3.89
Africa,Guinea,13497237.0,1998.93,1,0.07,0.0
Africa,Guinea,13497237.0,1998.93,2,0.52,0.0
Africa,Guinea,13497237.0,1998.93,3,2.66,0.46
Africa,Guinea,13497237.0,1998.93,4,1.41,12.71
Africa,Guinea,13497237.0,1998.93,5,1.26,27.47
Africa,Guinea,13497237.0,1998.93,6,0.74,55.47
Africa,Guinea-Bissau,2015490.0,1548.68,1,0.0,0.0
Africa,Guinea-Bissau,2015490.0,1548.68,2,1.49,0.0
Africa,Guinea-Bissau,2015490.0,1548.68,3,7.44,0.0
Africa,Guinea-Bissau,2015490.0,1548.68,4,1.98,0.0
Africa,Guinea-Bissau,2015490.0,1548.68,5,0.5,0.29
Africa,Guinea-Bissau,2015490.0,1548.68,6,0.5,2.07
Africa,Kenya,54985702.0,2993.03,1,1.69,0.0
Africa,Kenya,54985702.0,2993.03,2,1.69,0.0
Africa,Kenya,54985702.0,2993.03,3,5.4,0.64
Africa,Kenya,54985702.0,2993.03,4,10.39,6.89
Africa,Kenya,54985702.0,2993.03,5,8.15,22.56
Africa,Kenya,54985702.0,2993.03,6,8.4,55.79
Africa,Lesotho,2159067.0,2851.15,1,56.04,0.0
Africa,Lesotho,2159067.0,2851.15,2,55.58,0.0
Africa,Lesotho,2159067.0,2851.15,3,10.65,0.0
Africa,Lesotho,2159067.0,2851.15,4,0.46,0.74
Africa,Lesotho,2159067.0,2851.15,5,4.63,3.4
Africa,Lesotho,2159067.0,2851.15,6,1.39,0.0
Africa,Liberia,5180208.0,752.79,1,0.19,0.0
Africa,Liberia,5180208.0,752.79,2,0.19,0.0
Africa,Liberia,5180208.0,752.79,3,0.0,0.0
Africa,Liberia,5180208.0,752.79,4,0.0,0.0
Africa,Liberia,5180208.0,752.79,5,0.19,4.91
Africa,Liberia,5180208.0,752.79,6,7.91,9.44
Africa,Libya,6958538.0,17881.51,1,57.34,0.0
Africa,Libya,6958538.0,17881.51,2,43.4,0.0
Africa,Libya,6958538.0,17881.51,3,70.13,0.0
Africa,Libya,6958538.0,17881.51,4,52.03,0.01
Africa,Libya,6958538.0,17881.51,5,13.94,1.53
Africa,Libya,6958538.0,17881.51,6,9.63,28.64
Africa,Madagascar,28427333.0,1416.44,1,0.7,0.0
Africa,Madagascar,28427333.0,1416.44,2,0.56,0.0
Africa,Madagascar,28427333.0,1416.44,3,4.26,0.0
Africa,Madagascar,28427333.0,1416.44,4,7.92,0.0
Africa,Madagascar,28427333.0,1416.44,5,6.9,0.33
Africa,Madagascar,28427333.0,1416.44,6,2.6,3.67
Africa,Malawi,19647681.0,1095.04,1,26.11,0.0
Africa,Malawi,19647681.0,1095.04,2,17.41,0.0
Africa,Malawi,19647681.0,1095.04,3,3.72,3.79
Africa,Malawi,19647681.0,1095.04,4,1.58,25.79
Africa,Malawi,19647681.0,1095.04,5,0.36,32.68
Africa,Malawi,19647681.0,1095.04,6,2.09,46.29
Africa,Mali,20855724.0,2014.31,1,2.93,0.0
Africa,Mali,20855724.0,2014.31,2,1.1,0.0
