iso_code,continent,location,date,new_cases,new_cases_per_million,year,month
AFG,Asia,Afghanistan,2021-04-01,63.0,1.582,2021,4
AFG,Asia,Afghanistan,2021-04-02,55.0,1.381,2021,4
AFG,Asia,Afghanistan,2021-04-03,23.0,0.577,2021,4
AFG,Asia,Afghanistan,2021-04-04,81.0,2.033,2021,4
AFG,Asia,Afghanistan,2021-04-05,41.0,1.029,2021,4
AFG,Asia,Afghanistan,2021-04-06,62.0,1.556,2021,4
AFG,Asia,Afghanistan,2021-04-07,94.0,2.36,2021,4
AFG,Asia,Afghanistan,2021-04-08,70.0,1.757,2021,4
AFG,Asia,Afghanistan,2021-04-09,76.0,1.908,2021,4
AFG,Asia,Afghanistan,2021-04-10,125.0,3.138,2021,4
AFG,Asia,Afghanistan,2021-04-11,16.0,0.402,2021,4
AFG,Asia,Afghanistan,2021-04-12,82.0,2.058,2021,4
AFG,Asia,Afghanistan,2021-04-13,122.0,3.063,2021,4
AFG,Asia,Afghanistan,2021-04-14,128.0,3.213,2021,4
AFG,Asia,Afghanistan,2021-04-15,42.0,1.054,2021,4
AFG,Asia,Afghanistan,2021-04-16,78.0,1.958,2021,4
AFG,Asia,Afghanistan,2021-04-17,109.0,2.736,2021,4
AFG,Asia,Afghanistan,2021-04-18,72.0,1.807,2021,4
AFG,Asia,Afghanistan,2021-04-19,105.0,2.636,2021,4
AFG,Asia,Afghanistan,2021-04-20,139.0,3.489,2021,4
AFG,Asia,Afghanistan,2021-04-21,177.0,4.443,2021,4
AFG,Asia,Afghanistan,2021-04-22,98.0,2.46,2021,4
AFG,Asia,Afghanistan,2021-04-23,230.0,5.774,2021,4
AFG,Asia,Afghanistan,2021-04-24,188.0,4.719,2021,4
AFG,Asia,Afghanistan,2021-04-25,113.0,2.837,2021,4
AFG,Asia,Afghanistan,2021-04-26,172.0,4.318,2021,4
AFG,Asia,Afghanistan,2021-04-27,210.0,5.272,2021,4
AFG,Asia,Afghanistan,2021-04-28,145.0,3.64,2021,4
AFG,Asia,Afghanistan,2021-04-29,206.0,5.171,2021,4
AFG,Asia,Afghanistan,2021-04-30,169.0,4.242,2021,4
AFG,Asia,Afghanistan,2021-05-01,194.0,4.87,2021,5
AFG,Asia,Afghanistan,2021-05-02,183.0,4.594,2021,5
AFG,Asia,Afghanistan,2021-05-03,178.0,4.468,2021,5
AFG,Asia,Afghanistan,2021-05-04,263.0,6.602,2021,5
AFG,Asia,Afghanistan,2021-05-05,234.0,5.874,2021,5
AFG,Asia,Afghanistan,2021-05-06,365.0,9.163,2021,5
AFG,Asia,Afghanistan,2021-05-07,293.0,7.355,2021,5
AFG,Asia,Afghanistan,2021-05-08,300.0,7.531,2021,5
AFG,Asia,Afghanistan,2021-05-09,87.0,2.184,2021,5
AFG,Asia,Afghanistan,2021-05-10,221.0,5.548,2021,5
AFG,Asia,Afghanistan,2021-05-11,340.0,8.535,2021,5
AFG,Asia,Afghanistan,2021-05-12,315.0,7.908,2021,5
AFG,Asia,Afghanistan,2021-05-13,327.0,8.209,2021,5
AFG,Asia,Afghanistan,2021-05-14,310.0,7.782,2021,5
