iso_code,continent,location,date,total_cases,total_cases_per_million
AFG,Asia,Afghanistan,2020-02-24,5,0.126
AFG,Asia,Afghanistan,2020-02-25,5,0.126
AFG,Asia,Afghanistan,2020-02-26,5,0.126
AFG,Asia,Afghanistan,2020-02-27,5,0.126
AFG,Asia,Afghanistan,2020-02-28,5,0.126
AFG,Asia,Afghanistan,2020-02-29,5,0.126
AFG,Asia,Afghanistan,2020-03-01,5,0.126
AFG,Asia,Afghanistan,2020-03-02,5,0.126
AFG,Asia,Afghanistan,2020-03-03,5,0.126
AFG,Asia,Afghanistan,2020-03-04,5,0.126
AFG,Asia,Afghanistan,2020-03-05,5,0.126
AFG,Asia,Afghanistan,2020-03-06,5,0.126
AFG,Asia,Afghanistan,2020-03-07,8,0.201
AFG,Asia,Afghanistan,2020-03-08,8,0.201
AFG,Asia,Afghanistan,2020-03-09,8,0.201
AFG,Asia,Afghanistan,2020-03-10,8,0.201
AFG,Asia,Afghanistan,2020-03-11,11,0.276
AFG,Asia,Afghanistan,2020-03-12,11,0.276
AFG,Asia,Afghanistan,2020-03-13,11,0.276
AFG,Asia,Afghanistan,2020-03-14,14,0.351
AFG,Asia,Afghanistan,2020-03-15,20,0.502
AFG,Asia,Afghanistan,2020-03-16,25,0.628
AFG,Asia,Afghanistan,2020-03-17,26,0.653
AFG,Asia,Afghanistan,2020-03-18,26,0.653
AFG,Asia,Afghanistan,2020-03-19,26,0.653
AFG,Asia,Afghanistan,2020-03-20,24,0.602
AFG,Asia,Afghanistan,2020-03-21,24,0.602
AFG,Asia,Afghanistan,2020-03-22,34,0.854
AFG,Asia,Afghanistan,2020-03-23,40,1.004
AFG,Asia,Afghanistan,2020-03-24,42,1.054
AFG,Asia,Afghanistan,2020-03-25,74,1.858
AFG,Asia,Afghanistan,2020-03-26,80,2.008
AFG,Asia,Afghanistan,2020-03-27,91,2.284
AFG,Asia,Afghanistan,2020-03-28,106,2.661
AFG,Asia,Afghanistan,2020-03-29,114,2.862
AFG,Asia,Afghanistan,2020-03-30,114,2.862
AFG,Asia,Afghanistan,2020-03-31,166,4.167
